State,PctFor
Alabama,2.8
Alaska,7
Arizona,15.1
Arkansas,3.8
California,27.2
Colorado,10.3
Connecticut,12.9
Delaware,8.1
DistColumbia,12.7
Florida,18.9
Georgia,9.2
Hawaii,16.3
Idaho,5.6
Illinois,13.8
Indiana,4.2
Iowa,3.8
Kansas,6.3
Kentucky,2.7
Louisiana,2.9
Maine,3.2
Maryland,12.2
Massachusetts,14.1
Michigan,5.9
Minnesota,6.6
Mississippi,1.8
Missouri,3.3
Montana,1.9
Nebraska,5.6
Nevada,19.1
NewHampshire,5.4
NewJersey,20.1
NewMexico,10.1
NewYork,21.6
NorthCarolina,6.9
NorthDakota,2.1
Ohio,3.6
Oklahoma,4.9
Oregon,9.7
Pennsylvania,5.1
RhodeIsland,12.6
SouthCarolina,4.1
SouthDakota,2.2
Tennessee,3.9
Texas,15.9
Utah,8.3
Vermont,3.9
Virginia,10.1
Washington,12.4
WestVirginia,1.2
Wisconsin,4.4
Wyoming,2.7
