Player,Team,Attractiveness
Carson Palmer,Arizona Cardinals,5.06
Matt Ryan,Atlanta Falcons,4.61
Joe Flacco,Baltimore Ravens,4.56
E.J. Manuel,Buffalo Bills,5.58
Cam Newton,Carolina Panthers,4.39
Jay Cutler,Chicago Bears,5.26
Andy Dalton,Cincinnati Bengals,3.94
Brian Hoyer,Cleveland Browns,4.16
Tony Romo,Dallas Cowboys,4.86
Peyton Manning,Denver Broncos,3.85
Matthew Stafford,Detroit Lions,4.19
Aaron Rodgers,Green Bay Packers,5.39
Ryan Fitzpatrick,Houston Texans,3.65
Andrew Luck,Indianapolis Colts,4.67
Chad Henne,Jacksonville Jaguars,4.20
Alex Smith,Kansas City Chiefs,6.54
Ryan Tannehill,Miami Dolphins,5.80
Matt Cassel,Minnesota Vikings,5.51
Tom Brady,New England Patriots,6.21
Drew Brees,New Orleans Saints,3.90
Eli Manning,New York Giants,4.88
Geno Smith,New York Jets,3.97
Derek Carr,Oakland Raiders,5.14
Nick Foles,Philadelphia Eagles,5.41
Ben Roethlisberger,Pittsburgh Steelers,4.21
Philip Rivers,San Diego Chargers,4.97
Colin Kaepernick,San Francisco 49ers,4.69
Russell Wilson,Seattle Seahawks,4.81
Sam Bradford,St. Louis Rams,3.28
Josh McCown,Tampa Bay Buccaneers,4.32
Jake Locker,Tennessee Titans,3.96
Robert Griffin III,Washington Redskins,3.65
