Team,Year,Homerun
Arizona Dbacks,2006,160
Atlanta Braves,2006,222
Baltimore Orioles,2006,164
Boston Red Sox,2006,192
Chicago Cubs,2006,166
Chicago White Sox,2006,236
Cincinnati Reds,2006,217
Cleveland Indians,2006,196
Colorado Rockies,2006,157
Detroit Tigers,2006,203
Florida Marlins,2006,182
Houston Astros,2006,174
Kansas City Royals,2006,124
Los Angeles Angels,2006,159
Los Angeles Dodgers,2006,153
Milwaukee Brewers,2006,180
Minnesota Twins,2006,143
New York Mets,2006,200
New York Yankees,2006,210
Oakland Athletics,2006,175
Philadelphia Phillies,2006,216
Pittsburgh Pirates,2006,141
San Diego Padres,2006,161
San Francisco Giants,2006,163
Seattle Mariners,2006,172
St. Louis Cardinals,2006,184
Tampa Bay Rays,2006,190
Texas Rangers,2006,183
Toronto Blue Jays,2006,199
Washington Nationals,2006,164
Arizona Dbacks,2008,159
Atlanta Braves,2008,130
Baltimore Orioles,2008,172
Boston Red Sox,2008,173
Chicago Cubs,2008,184
Chicago White Sox,2008,235
Cincinnati Reds,2008,187
Cleveland Indians,2008,171
Colorado Rockies,2008,160
Detroit Tigers,2008,200
Florida Marlins,2008,208
Houston Astros,2008,167
Kansas City Royals,2008,120
Los Angeles Angels,2008,159
Los Angeles Dodgers,2008,137
Milwaukee Brewers,2008,198
Minnesota Twins,2008,111
New York Mets,2008,172
New York Yankees,2008,180
Oakland Athletics,2008,125
Philadelphia Phillies,2008,214
Pittsburgh Pirates,2008,153
San Diego Padres,2008,154
San Francisco Giants,2008,94
Seattle Mariners,2008,124
St. Louis Cardinals,2008,174
Tampa Bay Rays,2008,180
Texas Rangers,2008,194
Toronto Blue Jays,2008,126
Washington Nationals,2008,117
