Team,2006,2008,Delta
Arizona Dbacks,160,159,-1
Atlanta Braves,222,130,-92
Baltimore Orioles,164,172,8
Boston Red Sox,192,173,-19
Chicago Cubs,166,184,18
Chicago White Sox,236,235,-1
Cincinnati Reds,217,187,-30
Cleveland Indians,196,171,-25
Colorado Rockies,157,160,3
Detroit Tigers,203,200,-3
Florida Marlins,182,208,26
Houston Astros,174,167,-7
Kansas City Royals,124,120,-4
Los Angeles Angels,159,159,0
Los Angeles Dodgers,153,137,-16
Milwaukee Brewers,180,198,18
Minnesota Twins,143,111,-32
New York Mets,200,172,-28
New York Yankees,210,180,-30
Oakland Athletics,175,125,-50
Philadelphia Phillies,216,214,-2
Pittsburgh Pirates,141,153,12
San Diego Padres,161,154,-7
San Francisco Giants,163,94,-69
Seattle Mariners,172,124,-48
St. Louis Cardinals,184,174,-10
Tampa Bay Rays,190,180,-10
Texas Rangers,183,194,11
Toronto Blue Jays,199,126,-73
Washington Nationals,164,117,-47
,,,
,,,
,,,
,,,
,,,
,,,
